dataset,mechanism,missing_rate,imputer,random_forest__accuracy_mean,random_forest__accuracy_std,random_forest__macro_f1_mean,random_forest__macro_f1_std,random_forest__weighted_f1_mean,random_forest__weighted_f1_std
adult,MAR,0.05,constant,,,,,,
adult,MAR,0.05,dropna,0.7653,,0.6972,,0.7733,
adult,MAR,0.05,mean,,,,,,
adult,MAR,0.05,median,,,,,,
adult,MAR,0.15,constant,,,,,,
adult,MAR,0.15,dropna,0.8171,,0.6858,,0.7948,
adult,MAR,0.15,iterative,,,,,,
adult,MAR,0.15,knn_5,,,,,,
adult,MAR,0.15,mean,,,,,,
adult,MAR,0.15,median,,,,,,
adult,MAR,0.3,constant,,,,,,
adult,MAR,0.3,dropna,0.84,,0.6212,,0.817,
adult,MAR,0.3,iterative,,,,,,
adult,MAR,0.3,knn_5,,,,,,
adult,MAR,0.3,mean,,,,,,
adult,MAR,0.3,median,,,,,,
adult,MCAR,0.05,constant,,,,,,
adult,MCAR,0.05,dropna,0.7874,,0.7365,,0.7942,
adult,MCAR,0.05,mean,,,,,,
adult,MCAR,0.05,median,,,,,,
adult,MCAR,0.15,constant,,,,,,
adult,MCAR,0.15,dropna,0.7317,,0.5512,,0.7109,
adult,MCAR,0.15,iterative,,,,,,
adult,MCAR,0.15,knn_5,,,,,,
adult,MCAR,0.15,mean,,,,,,
adult,MCAR,0.15,median,,,,,,
adult,MCAR,0.3,constant,,,,,,
adult,MCAR,0.3,dropna,,,,,,
adult,MCAR,0.3,iterative,,,,,,
adult,MCAR,0.3,knn_5,,,,,,
adult,MCAR,0.3,mean,,,,,,
adult,MCAR,0.3,median,,,,,,
adult,MNAR,0.05,constant,,,,,,
adult,MNAR,0.05,dropna,0.7883,,0.733,,0.7976,
adult,MNAR,0.05,mean,,,,,,
adult,MNAR,0.05,median,,,,,,
adult,MNAR,0.15,constant,,,,,,
adult,MNAR,0.15,dropna,0.7708,,0.6648,,0.759,
adult,MNAR,0.15,iterative,,,,,,
adult,MNAR,0.15,knn_5,,,,,,
adult,MNAR,0.15,mean,,,,,,
adult,MNAR,0.15,median,,,,,,
adult,MNAR,0.3,constant,,,,,,
adult,MNAR,0.3,dropna,0.4,,0.2857,,0.5714,
adult,MNAR,0.3,iterative,,,,,,
adult,MNAR,0.3,knn_5,,,,,,
adult,MNAR,0.3,mean,,,,,,
adult,MNAR,0.3,median,,,,,,
