dataset,task,model,mechanism,acc_mean,acc_std,mf1_mean,mf1_std,wf1_mean,wf1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
adult,classification,lightgbm,MAR,0.7636,0.257,0.7269,0.2469,0.7686,0.2585,,,,,,
adult,classification,lightgbm,MCAR,0.8233,0.0227,0.7779,0.0329,0.8288,0.0241,,,,,,
adult,classification,lightgbm,MNAR,0.8327,0.0711,0.7946,0.074,0.837,0.0712,,,,,,
adult,classification,logistic_regression,MAR,0.8434,0.0669,0.8072,0.0753,0.8519,0.0632,,,,,,
adult,classification,logistic_regression,MCAR,0.8064,0.0303,0.7698,0.0332,0.8166,0.0281,,,,,,
adult,classification,logistic_regression,MNAR,0.8086,0.045,0.754,0.073,0.8182,0.0466,,,,,,
adult,classification,random_forest,MAR,0.835,0.0695,0.7771,0.1006,0.8421,0.0648,,,,,,
adult,classification,random_forest,MCAR,0.8041,0.0313,0.7646,0.0317,0.8132,0.0277,,,,,,
adult,classification,random_forest,MNAR,0.8147,0.0565,0.7575,0.0715,0.8222,0.0525,,,,,,
air_quality_uci,regression,lightgbm,MAR,,,,,,,1.174,1.4407,1.6474,1.7526,0.5642,0.6001
air_quality_uci,regression,lightgbm,MCAR,,,,,,,2.2272,2.3182,3.0224,2.6307,0.321,1.6256
air_quality_uci,regression,lightgbm,MNAR,,,,,,,1.7345,1.911,2.2286,2.1461,-3.8043,12.5545
air_quality_uci,regression,random_forest,MAR,,,,,,,0.3671,0.4969,0.58,0.7127,0.8335,0.4226
air_quality_uci,regression,random_forest,MCAR,,,,,,,0.5233,0.4669,0.8323,0.6277,0.9767,0.0251
air_quality_uci,regression,random_forest,MNAR,,,,,,,0.3608,0.3875,0.5461,0.4797,0.6692,1.0149
air_quality_uci,regression,ridge_regression,MAR,,,,,,,0.5337,0.466,0.6651,0.5467,0.9247,0.189
air_quality_uci,regression,ridge_regression,MCAR,,,,,,,0.6364,0.2895,0.8366,0.3278,0.9654,0.084
air_quality_uci,regression,ridge_regression,MNAR,,,,,,,0.5369,0.427,0.6958,0.5745,0.5719,1.5562
bank_marketing,classification,lightgbm,MAR,0.8504,0.1164,0.7286,0.1586,0.8399,0.1429,,,,,,
bank_marketing,classification,lightgbm,MCAR,0.7496,0.1306,0.6749,0.1622,0.7324,0.1749,,,,,,
bank_marketing,classification,lightgbm,MNAR,0.8334,0.1215,0.7604,0.1819,0.8258,0.1461,,,,,,
bank_marketing,classification,logistic_regression,MAR,0.8386,0.0506,0.7232,0.1282,0.853,0.0503,,,,,,
bank_marketing,classification,logistic_regression,MCAR,0.7725,0.1264,0.7256,0.1506,0.7761,0.1368,,,,,,
bank_marketing,classification,logistic_regression,MNAR,0.8105,0.0765,0.7601,0.0904,0.8182,0.0733,,,,,,
bank_marketing,classification,random_forest,MAR,0.8688,0.1042,0.7277,0.1622,0.8502,0.1365,,,,,,
bank_marketing,classification,random_forest,MCAR,0.7866,0.0756,0.6708,0.1433,0.7562,0.1232,,,,,,
bank_marketing,classification,random_forest,MNAR,0.8504,0.114,0.7616,0.1755,0.8344,0.1427,,,,,,
communities_crime,regression,lightgbm,MAR,,,,,,,0.1334,0.0099,0.1678,0.0134,0.5046,0.1537
communities_crime,regression,lightgbm,MCAR,,,,,,,0.1098,0.0168,0.1361,0.017,0.7891,0.05
communities_crime,regression,lightgbm,MNAR,,,,,,,0.1473,0.017,0.1816,0.0229,0.3184,0.3033
communities_crime,regression,random_forest,MAR,,,,,,,0.1402,0.0143,0.1767,0.0159,0.4651,0.0874
communities_crime,regression,random_forest,MCAR,,,,,,,0.1315,0.0087,0.1572,0.0149,0.7188,0.0571
communities_crime,regression,random_forest,MNAR,,,,,,,0.1511,0.0206,0.1797,0.0232,0.3342,0.3058
communities_crime,regression,ridge_regression,MAR,,,,,,,0.2211,0.066,0.3594,0.2242,-2.3241,4.3455
communities_crime,regression,ridge_regression,MCAR,,,,,,,0.2238,0.1013,0.3026,0.1322,-0.145,0.9665
communities_crime,regression,ridge_regression,MNAR,,,,,,,0.2067,0.015,0.2537,0.0068,-0.3449,0.6669
