,dataset,rate,acc_mean,acc_std,wf1_mean
0,adult,0.01,0.8329,0.0039,0.8415
1,adult,0.05,0.8291,0.0045,0.838
2,adult,0.1,0.8266,0.0074,0.8357
3,adult,0.15,0.8208,0.0096,0.8302
4,adult,0.2,0.8184,0.0172,0.828
5,adult,0.25,0.8083,0.0291,0.8182
6,adult,0.3,0.7845,0.1225,0.7951
7,bank_marketing,0.01,0.8522,0.0078,0.87
8,bank_marketing,0.05,0.8491,0.0081,0.8672
9,bank_marketing,0.1,0.8482,0.0159,0.8661
10,bank_marketing,0.15,0.8331,0.0496,0.8505
11,bank_marketing,0.2,0.8351,0.0363,0.8548
12,bank_marketing,0.25,0.832,0.0592,0.8502
13,bank_marketing,0.3,0.8264,0.0721,0.8411
