,dataset,imputer,acc_mean,acc_std,mf1_mean,wf1_mean
6,adult,simple_const,0.8222,0.0113,0.7861,0.8319
8,adult,simple_mean,0.8215,0.0114,0.7855,0.8313
7,adult,simple_freq,0.821,0.0117,0.7849,0.8309
9,adult,simple_median,0.8206,0.0115,0.7847,0.8305
1,adult,iterative,0.8192,0.0121,0.7829,0.8292
4,adult,knn_7,0.8182,0.0128,0.7819,0.8282
3,adult,knn_5,0.8178,0.013,0.7815,0.8279
2,adult,knn_3,0.8171,0.0132,0.7806,0.8273
5,adult,miceforest,0.8079,0.0178,0.7674,0.818
0,adult,dropna,0.8065,0.1551,0.7665,0.8115
18,bank_marketing,simple_mean,0.8479,0.0114,0.7369,0.8678
16,bank_marketing,simple_const,0.8475,0.0115,0.7362,0.8674
11,bank_marketing,iterative,0.8471,0.011,0.7357,0.8671
19,bank_marketing,simple_median,0.847,0.0102,0.7352,0.867
17,bank_marketing,simple_freq,0.8468,0.0105,0.7348,0.8668
14,bank_marketing,knn_7,0.845,0.0108,0.732,0.8653
13,bank_marketing,knn_5,0.8432,0.0117,0.7297,0.8639
12,bank_marketing,knn_3,0.8405,0.0126,0.7264,0.8617
15,bank_marketing,miceforest,0.8191,0.0218,0.6996,0.8447
10,bank_marketing,dropna,0.8099,0.1291,0.7211,0.798
