,dataset,imputer,mae_mean,r2_mean,r2_std
1,air_quality_uci,iterative,0.2866,0.9908,0.0084
6,air_quality_uci,simple_const,0.2551,0.9908,0.009
7,air_quality_uci,simple_freq,0.2675,0.9906,0.0091
8,air_quality_uci,simple_mean,0.264,0.9906,0.0091
9,air_quality_uci,simple_median,0.2683,0.9905,0.009
4,air_quality_uci,knn_7,0.453,0.981,0.0163
3,air_quality_uci,knn_5,0.4751,0.9791,0.0183
2,air_quality_uci,knn_3,0.5205,0.9753,0.0225
5,air_quality_uci,miceforest,1.2797,0.8262,0.1041
0,air_quality_uci,dropna,1.7026,-0.9002,7.2831
11,communities_crime,iterative,0.0932,0.6255,0.0191
13,communities_crime,knn_5,0.0932,0.6244,0.0184
14,communities_crime,knn_7,0.0933,0.6229,0.0163
12,communities_crime,knn_3,0.0935,0.6217,0.02
19,communities_crime,simple_median,0.0939,0.6204,0.0186
17,communities_crime,simple_freq,0.0941,0.6199,0.0179
18,communities_crime,simple_mean,0.094,0.6196,0.0162
16,communities_crime,simple_const,0.0947,0.6143,0.0227
15,communities_crime,miceforest,0.0984,0.597,0.0373
10,communities_crime,dropna,0.1319,0.5155,0.2806
