,dataset,imputer,imp_mae_num_mean,imp_mae_num_std,imp_rmse_num_mean,imp_acc_cat_mean
8,adult,simple_median,12739.1671,4035.3688,16827.4951,0.5331
7,adult,simple_mean,12943.9478,4493.8829,16769.9875,0.5331
0,adult,iterative,12995.4226,4490.6697,16808.5196,0.5331
6,adult,simple_freq,13627.6249,3835.883,17775.0682,0.5331
3,adult,knn_7,14405.4171,4161.0229,18817.5664,0.5331
2,adult,knn_5,14749.7033,3989.8111,19358.8437,0.5331
1,adult,knn_3,15594.1106,3719.6475,20611.4714,0.5331
4,adult,miceforest,18559.7699,2366.8988,25278.5084,0.0
5,adult,simple_const,30940.9761,7108.1179,34769.2009,0.5331
9,air_quality_uci,iterative,49.9748,8.9213,66.6377,
13,air_quality_uci,miceforest,69.1345,22.5779,88.2967,
12,air_quality_uci,knn_7,83.6997,38.5502,106.1671,
11,air_quality_uci,knn_5,85.7712,39.2875,109.133,
10,air_quality_uci,knn_3,89.8141,40.474,114.754,
16,air_quality_uci,simple_mean,129.1398,23.4639,152.1007,
17,air_quality_uci,simple_median,131.8811,24.3684,156.9922,
15,air_quality_uci,simple_freq,135.0607,26.1149,163.5634,
14,air_quality_uci,simple_const,510.1223,47.8738,528.1606,
26,bank_marketing,simple_median,216.0827,159.2391,413.3151,0.5487
24,bank_marketing,simple_freq,227.9665,176.8104,429.6637,0.5487
23,bank_marketing,simple_const,244.7771,177.4809,444.4751,0.5487
18,bank_marketing,iterative,264.3901,125.1592,424.5975,0.5487
25,bank_marketing,simple_mean,269.1474,127.7794,423.2648,0.5487
21,bank_marketing,knn_7,283.0256,126.5345,466.1647,0.5487
20,bank_marketing,knn_5,289.314,126.5491,480.6414,0.5487
19,bank_marketing,knn_3,303.2557,128.8454,514.4282,0.5487
22,bank_marketing,miceforest,334.7293,127.8811,641.3853,0.0
27,communities_crime,iterative,0.0577,0.0045,0.0798,
30,communities_crime,knn_7,0.0787,0.009,0.1061,
29,communities_crime,knn_5,0.0793,0.0092,0.1073,
28,communities_crime,knn_3,0.0818,0.0098,0.1112,
31,communities_crime,miceforest,0.1252,0.009,0.1603,
35,communities_crime,simple_median,0.1386,0.0073,0.1801,
34,communities_crime,simple_mean,0.1453,0.0062,0.1772,
33,communities_crime,simple_freq,0.1597,0.0106,0.2067,
32,communities_crime,simple_const,0.3565,0.0089,0.3946,
